stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,intro_2.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0037171000003581867,0.009088300008443184,0.009088300008443184,2.023914799996419,3.9415521000046283,space,3.9177560999960406,None,,,,,,,,,,,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
PPPPP,p,con,0,0,0,4,3.967071599996416,,,,,,,,,,3.9552980000007665,3.967071599996416,4.973553900010302,5.956777300001704,5.956777300001704,6.456833500007633,6.941072800007532,p,0.9690124999906402,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
VVPVV,p,incon,0,1,1,0,6.95670809999865,,,,,,,,,,6.942427500005579,6.95670809999865,7.956566200009547,8.956294500007061,8.956294500007061,9.456264499996905,9.474472400004743,p,0.5095317999948747,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
VVEVV,e,incon,0,2,2,3,9.489538499998162,,,,,,,,,,9.47563970000192,9.489538499998162,10.489491400003317,11.489788400009274,11.489788400009274,11.989502500000526,12.124728199996753,e,0.6211068999982672,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
RRERR,e,incon,0,3,3,1,12.139456400007475,,,,,,,,,,12.12583900000027,12.139456400007475,13.139129500006675,14.138982100004796,14.138982100004796,,14.590702500005136,p,0.446513100003358,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
RRPRR,p,incon,0,4,4,2,14.605589300001157,,,,,,,,,,14.592332200001692,14.605589300001157,15.605679500004044,16.60558070000843,16.60558070000843,17.105368800010183,17.257902700002887,p,0.6494244999921648,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
EEEEE,e,con,0,5,5,5,17.271852999998373,,,,,,,,,,17.259014399998705,17.271852999998373,18.271704900005716,19.27146720000019,19.27146720000019,,19.657340799996746,e,0.3774016999959713,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
VVEVV,e,incon,1,0,6,3,19.67166590000852,,,,,,,,,,19.65846170000441,19.67166590000852,20.6713657000073,21.671334900005604,21.671334900005604,22.171315900006448,22.206633499998134,e,0.5221822000021348,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
RRERR,e,incon,1,1,7,1,22.22143920000235,,,,,,,,,,22.207743999999366,22.22143920000235,23.221138699998846,24.220910300005926,24.220910300005926,,24.673176800002693,e,0.43550790000881534,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
PPPPP,p,con,1,2,8,4,24.68774080000003,,,,,,,,,,24.6741483000078,24.68774080000003,25.687401100003626,26.68737850000616,26.68737850000616,27.187234400000307,27.18887350001023,p,0.4926804999995511,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
VVPVV,p,incon,1,3,9,0,27.203933299999335,,,,,,,,,,27.189930699998513,27.203933299999335,28.203900599997723,29.203789599996526,29.203789599996526,29.703655999997864,29.839189799997257,p,0.6230330000107642,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
RRPRR,p,incon,1,4,10,2,29.853838299997733,,,,,,,,,,29.8400876000087,29.853838299997733,30.853412900003605,31.853478799996083,31.853478799996083,32.353260200005025,32.33868590000202,p,0.48250019999977667,None,abi qiet readibg,001,2023-11-28_16h23.14.706,lastdayclasses,2023.2.3,59.88640746186694,2023-11-28 16h23.32.333090 +0530,
