stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,text.stopped,intro_2.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.00291579999611713,0.008070499985478818,0.008070499985478818,2.011844199994812,2.011844199994812,9.779364599991823,n,9.760457099997438,None,,,,,,,,,,,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
EEEEE,e,con,0,0,0,5,9.809335900004953,,,,,,,,,,,9.79431850000401,9.809335900004953,10.810638199996902,11.793849799985765,11.793849799985765,12.2937915000075,13.262277800007723,e,1.4603202999860514,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
PPPPP,p,con,0,1,1,4,13.27674269999261,,,,,,,,,,,13.263737700006459,13.27674269999261,14.27676939999219,15.276611600012984,15.276611600012984,15.776535599987255,19.92833990001236,p,4.648620399995707,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
VVEVV,e,incon,0,2,2,3,19.949303400004283,,,,,,,,,,,19.929360999987694,19.949303400004283,20.959198700002162,21.942624599992996,21.942624599992996,22.442386200011242,22.477521399996476,e,0.519040600018343,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
RRPRR,p,incon,0,3,3,2,22.492369699990377,,,,,,,,,,,22.47856290001073,22.492369699990377,23.49244999999064,24.492033199989237,24.492033199989237,,24.861120099987602,p,0.35678780000307597,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
VVPVV,p,incon,0,4,4,0,24.87551079998957,,,,,,,,,,,24.862163399986457,24.87551079998957,25.875200699985726,26.875196899985895,26.875196899985895,27.37490140000591,27.760490799992112,p,0.8826744999969378,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
RRERR,e,incon,0,5,5,1,27.775079799990635,,,,,,,,,,,27.76147719999426,27.775079799990635,28.774749800009886,29.774805399996694,29.774805399996694,30.274635600013426,30.426471000013407,e,0.6439188999938779,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
VVPVV,p,incon,1,0,6,0,30.441419000009773,,,,,,,,,,,30.427419799991185,30.441419000009773,31.441386099992087,32.441192400001455,32.441192400001455,32.94106290000491,33.02629320000415,p,0.5690327000047546,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
RRERR,e,incon,1,1,7,1,33.04108830000041,,,,,,,,,,,33.02733320000698,33.04108830000041,34.04075990000274,35.040772700012894,35.040772700012894,35.54073269999935,35.89231729999301,e,0.8447849999938626,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
RRPRR,p,incon,1,2,8,2,35.907196299987845,,,,,,,,,,,35.893284299992956,35.907196299987845,36.90719430000172,37.90698259999044,37.90698259999044,,38.375395300012315,p,0.45231610001064837,None,manan last day,001,2023-11-25_16h03.55.349,lastdayclasses,2023.2.3,59.93403660637168,2023-11-25 16h04.05.819714 +0530,
