stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,intro_2.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0023489000013796613,0.005944100004853681,0.005944100004853681,2.011551799994777,295.0125129999942,space,294.9922540999978,None,,,,,,,,,,,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
VVEVV,e,incon,0,0,0,3,295.04907199999434,,,,,,,,,,295.031942600006,295.04907199999434,296.0606356000062,297.02749959999346,297.02749959999346,297.52668110000377,297.91297530000156,e,0.8818776000116486,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
VVPVV,p,incon,0,1,1,0,297.9295206999959,,,,,,,,,,297.9158233000053,297.9295206999959,298.9437128999998,299.92876290000277,299.92876290000277,300.444127499999,300.6620163000043,p,0.7298397999984445,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
RRERR,e,incon,0,2,2,1,300.67724910000106,,,,,,,,,,300.6630785000016,300.67724910000106,301.6929989000055,302.67634669999825,302.67634669999825,303.1762233000045,303.2948502000072,e,0.6139485000021523,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
PPPPP,p,con,0,3,3,4,303.30942530000175,,,,,,,,,,303.2959483000013,303.30942530000175,304.30898430000525,305.3097157000011,305.3097157000011,305.8094720999943,305.82756849999714,p,0.5023278000007849,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
RRPRR,p,incon,0,4,4,2,305.8432051999989,,,,,,,,,,305.82881750000524,305.8432051999989,306.8423519000062,307.8425748000009,307.8425748000009,308.3426716999966,308.39428740000585,p,0.5445680999982869,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
EEEEE,e,con,0,5,5,5,308.4091608000017,,,,,,,,,,308.3953318999993,308.4091608000017,309.4084353999933,310.408342900002,310.408342900002,310.9083374000038,310.94407610000053,e,0.5211946999916108,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
RRPRR,p,incon,1,0,6,2,310.95863750000717,,,,,,,,,,310.9450099999958,310.95863750000717,311.9585999999981,312.9584770000074,312.9584770000074,313.4582984000008,313.47657319999416,p,0.5012076999992132,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
VVEVV,e,incon,1,1,7,3,313.49058300000615,,,,,,,,,,313.47757970000384,313.49058300000615,314.491402700005,315.49163930000213,315.49163930000213,,315.90975010000693,e,0.40592869999818504,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
VVPVV,p,incon,1,2,8,0,315.9246239000058,,,,,,,,,,315.91086760000326,315.9246239000058,316.92497469999944,317.92424700000265,317.92424700000265,318.4237764999998,318.4090428000054,p,0.4766147999907844,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
EEEEE,e,con,1,3,9,5,318.4237764999998,,,,,,,,,,318.40997370000696,318.4237764999998,319.4244682999997,320.42424890000257,320.42424890000257,,320.82569019999937,e,0.3933499000122538,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
PPPPP,p,con,1,4,10,4,320.84069729999464,,,,,,,,,,320.8266932999977,320.84069729999464,321.84108990000095,322.8406590999948,322.8406590999948,,323.225279899998,p,0.36910809999972116,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
RRERR,e,incon,1,5,11,1,323.23990149999736,,,,,,,,,,323.22648919999483,323.23990149999736,324.23958239999774,325.24011460000474,325.24011460000474,325.73998969999957,325.87537480000174,e,0.6234538999997312,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
VVEVV,e,incon,2,0,12,3,325.8902181000012,,,,,,,,,,325.8763456000015,325.8902181000012,326.8897194000019,327.8889291999949,327.8889291999949,,328.3586504999985,e,0.46725669999432284,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
RRERR,e,incon,2,1,13,1,328.3731887000031,,,,,,,,,,328.3595906999981,328.3731887000031,329.37326819999726,330.372727199996,330.372727199996,330.8726697999955,330.89169190000393,p,0.5073823999991873,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
RRPRR,p,incon,2,2,14,2,330.9064098999952,,,,,,,,,,330.8927701000066,330.9064098999952,331.9057371999952,332.9060993000021,332.9060993000021,,333.3742426999961,e,0.46125159999064635,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
EEEEE,e,con,2,3,15,5,333.389148000002,,,,,,,,,,333.3752967000037,333.389148000002,334.39026260000537,335.3890967000043,335.3890967000043,,335.7905633000046,e,0.38443700000061654,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
VVPVV,p,incon,2,4,16,0,335.8060581000027,,,,,,,,,,335.79166370000166,335.8060581000027,336.8207837999944,337.8053990000044,337.8053990000044,338.30547490000026,338.3403591999959,p,0.5178543000074569,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
PPPPP,p,con,2,5,17,4,338.3552004999947,,,,,,,,,,338.3413600000058,338.3552004999947,339.35487169999396,340.3547938999982,340.3547938999982,340.85490419999405,340.8401298999961,p,0.47114970000984613,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
PPPPP,p,con,3,0,18,4,340.85490419999405,,,,,,,,,,340.84113129999605,340.85490419999405,341.8541331000015,342.8540400000056,342.8540400000056,,343.2909842999943,p,0.4346876999916276,None,manan quiet reading,001,2023-11-28_16h16.11.266,lastdayclasses,2023.2.3,60.18538302182656,2023-11-28 16h16.33.665691 +0530,
