stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,text.stopped,intro_2.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0030239000043366104,0.012697199999820441,0.012697199999820441,2.0123701999837067,2.0123701999837067,43.09249229999841,n,43.07355629999074,None,,,,,,,,,,,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
EEEEE,e,con,0,0,0,5,43.12331500000437,,,,,,,,,,,43.11030050000409,43.12331500000437,44.12346229999093,45.10675340000307,45.10675340000307,46.10664899999392,46.62505209998926,e,1.5099496000038926,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
PPPPP,p,con,0,1,1,4,46.645136699982686,,,,,,,,,,,46.63176940000267,46.645136699982686,47.65629300000728,48.639447499997914,48.639447499997914,,49.19127459998708,p,0.5487319999956526,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
VVEVV,e,incon,0,2,2,3,49.20607069999096,,,,,,,,,,,49.19233079999685,49.20607069999096,50.20605579999392,51.2060141999973,51.2060141999973,52.2058573999966,52.39112839999143,e,1.179459000006318,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
RRPRR,p,incon,0,3,3,2,52.405586399981985,,,,,,,,,,,52.3921846000012,52.405586399981985,53.40528869998525,54.40560539998114,54.40560539998114,,54.973876799980644,p,0.5558622000098694,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
RRERR,e,incon,0,4,4,1,54.98872540000593,,,,,,,,,,,54.97488560000784,54.98872540000593,55.98843789999955,56.98833960000775,56.98833960000775,,57.42392529998324,e,0.4332748000160791,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
VVPVV,p,incon,0,5,5,0,57.43842950000544,,,,,,,,,,,57.424965599988354,57.43842950000544,58.43839009999647,59.4381167999818,59.4381167999818,,59.93990430000122,p,0.4861016000213567,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
EEEEE,e,con,1,0,6,5,59.95457699999679,,,,,,,,,,,59.94089800000074,59.95457699999679,60.954696100001456,61.954537499987055,61.954537499987055,,62.506285399984336,e,0.5403112000203691,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
PPPPP,p,con,1,1,7,4,62.520958699984476,,,,,,,,,,,62.507280299993,62.520958699984476,63.52083429999766,64.52063149999594,64.52063149999594,,65.08923889999278,p,0.5632654000073671,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
RRERR,e,incon,1,2,8,1,65.10398149999673,,,,,,,,,,,65.09023879998131,65.10398149999673,66.10392679998768,67.10371269998723,67.10371269998723,,67.75532470000326,e,0.6450737999984995,None,naidile last day class,001,2023-11-25_16h00.52.513,lastdayclasses,2023.2.3,60.18440501985424,2023-11-25 16h01.08.459600 +0530,
