stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,intro_2.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0018632999999681488,0.007539800004451536,0.007539800004451536,2.0206435000000056,5.054478199992445,space,5.037970400007907,None,,,,,,,,,,,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
PPPPP,p,con,0,0,0,4,5.070253600002616,,,,,,,,,,5.06266909999249,5.070253600002616,6.069862199990894,7.069864099990809,7.069864099990809,7.569715199992061,7.837426400001277,p,0.7654703999869525,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
EEEEE,e,con,0,1,1,5,7.853160500002559,,,,,,,,,,7.84153740000329,7.853160500002559,8.852633300004527,9.852784399990924,9.852784399990924,10.352791800003615,10.353682699991623,e,0.4860896000027424,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
RRERR,e,incon,0,2,2,1,10.36950899999647,,,,,,,,,,10.354096800001571,10.36950899999647,11.36937780000153,12.369014199997764,12.369014199997764,12.86923999999999,12.969960699992953,e,0.5916470000083791,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
VVPVV,p,incon,0,3,3,0,12.985733900000923,,,,,,,,,,12.970526299992343,12.985733900000923,13.98554399999557,14.985591499993461,14.985591499993461,15.485550900004455,15.553005499998108,p,0.5640143000055104,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
RRPRR,p,incon,0,4,4,2,15.568660099990666,,,,,,,,,,15.553455200002645,15.568660099990666,16.568727999998373,17.56855369999539,17.56855369999539,,18.036093599992455,p,0.46101590000034776,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
VVEVV,e,incon,0,5,5,3,18.051950499997474,,,,,,,,,,18.036499499998172,18.051950499997474,19.051548100003856,20.051478900000802,20.051478900000802,,20.502516900000046,e,0.4334585999895353,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
EEEEE,e,con,1,0,6,5,20.518194599993876,,,,,,,,,,20.50292189999891,20.518194599993876,21.517607200003113,22.51776639999298,22.51776639999298,23.01779899999383,23.08636139999726,e,0.5508697999903234,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
VVEVV,e,incon,1,1,7,3,23.101440500002354,,,,,,,,,,23.08725250000134,23.101440500002354,24.1009672999935,25.101132299998426,25.101132299998426,25.600629799999297,25.601963900000555,e,0.48473050000029616,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
VVPVV,p,incon,1,2,8,0,25.6178413000016,,,,,,,,,,25.602896199998213,25.6178413000016,26.617436999993515,27.61753599999065,27.61753599999065,,28.019303499997477,p,0.3943187999975635,None,naidile quiet reading,001,2023-11-28_16h08.28.253,lastdayclasses,2023.2.3,60.139415189694105,2023-11-28 16h08.41.133701 +0530,
