stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0027602000045590103,0.006811700004618615,0.006811700004618615,1.6923065999872051,space,1.6791287999949418,None,,,,,,,,,,,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
VVEVV,e,incon,0,0,0,3,1.721121199982008,,,,,,,,,1.707097899983637,1.721121199982008,2.7233484000025783,3.706593499984592,3.706593499984592,4.206495899998117,4.5584871000028215,e,0.8365867999964394,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
PPPPP,p,con,0,1,1,4,4.572965600003954,,,,,,,,,4.559831899998244,4.572965600003954,5.57299129999592,6.572972099995241,6.572972099995241,,7.0419049999909475,p,0.4534398000105284,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
EEEEE,e,con,0,2,2,5,7.056243500002893,,,,,,,,,7.042834199994104,7.056243500002893,8.056248899985803,9.056025500001851,9.056025500001851,,9.391423599998234,e,0.3261519999941811,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
VVPVV,p,incon,0,3,3,0,9.405937699979404,,,,,,,,,9.392491200007498,9.405937699979404,10.406043399998453,11.405621999991126,11.405621999991126,11.90532289998373,12.140642599988496,p,0.7208813999895938,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
RRERR,e,incon,0,4,4,1,12.155643999984022,,,,,,,,,12.141608399979305,12.155643999984022,13.155533699988155,14.155235099984566,14.155235099984566,14.655326299980516,14.973474800004624,e,0.8041351999854669,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
RRPRR,p,incon,0,5,5,2,14.988500199979171,,,,,,,,,14.974457100004656,14.988500199979171,15.988542199978838,16.988169599993853,16.988169599993853,17.48814770000172,17.67303269999684,p,0.6700142000045162,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
RRERR,e,incon,1,0,6,1,17.68839840000146,,,,,,,,,17.67401659997995,17.68839840000146,18.688022899994394,19.688077900005737,19.688077900005737,,20.039653599989833,e,0.3407611000002362,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
EEEEE,e,con,1,1,7,5,20.054670399986207,,,,,,,,,20.040578099986305,20.054670399986207,21.054338999994798,22.054262999998173,22.054262999998173,,22.522356200002832,p,0.45486570001230575,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
VVEVV,e,incon,1,2,8,3,22.537532999995165,,,,,,,,,22.52327539998805,22.537532999995165,23.537323399999877,24.537506900000153,24.537506900000153,25.03720880000037,25.1224768999964,e,0.5778893000097014,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
PPPPP,p,con,1,3,9,4,25.13732009998057,,,,,,,,,25.12343099998543,25.13732009998057,26.137163899984444,27.136957899987465,27.136957899987465,,27.5555444000056,p,0.41461450001224875,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
RRPRR,p,incon,1,4,10,2,27.570066699991003,,,,,,,,,27.55660379998153,27.570066699991003,28.569973499979824,29.569923500006553,29.569923500006553,30.069673899997724,30.171961499989266,p,0.5995425000146497,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
VVPVV,p,incon,1,5,11,0,30.18649289998575,,,,,,,,,30.172884200001135,30.18649289998575,31.18629049998708,32.186379599996144,32.186379599996144,,32.62164239998674,p,0.42817099997773767,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
PPPPP,p,con,2,0,12,4,32.63637789999484,,,,,,,,,32.62264539999887,32.63637789999484,33.63592659999267,34.63595359999454,34.63595359999454,,35.05456530000083,p,0.4155186000280082,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
VVEVV,e,incon,2,1,13,3,35.06912889998057,,,,,,,,,35.0556585000013,35.06912889998057,36.069048300007125,37.068880000006175,37.068880000006175,37.568715400004294,37.62078019999899,e,0.5474846000142861,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
EEEEE,e,con,2,2,14,5,37.635627499985276,,,,,,,,,37.62185480000335,37.635627499985276,38.635309599980246,39.63527999998769,39.63527999998769,,40.08703979998245,e,0.4366382999869529,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
VVPVV,p,incon,2,3,15,0,40.101825299992925,,,,,,,,,40.088187599991215,40.101825299992925,41.10152409999864,42.10170759999892,42.10170759999892,42.60147979998146,42.86991919999127,p,0.7532223000016529,None,participant last day,001,2023-11-25_16h09.38.694,lastdayclasses,2023.2.3,60.16405534158458,2023-11-25 16h09.53.828534 +0530,
