stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.0023778000031597912,0.009294899995438755,0.009294899995438755,1.0046241999953054,space,0.9931194999953732,None,,,,,,,,,,,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
PPPPP,p,con,0,0,0,4,1.0378475000034086,,,,,,,,,1.0232321999792475,1.0378475000034086,2.050497499993071,3.017171399988001,3.017171399988001,3.5172268000023905,3.5197105999977794,p,0.49565150000853464,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
VVPVV,p,incon,0,1,1,0,3.538529599987669,,,,,,,,,3.525520700000925,3.538529599987669,4.5502055999822915,5.5335615999938454,5.5335615999938454,6.0332033000013325,6.168369699997129,e,0.6223344999889378,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
VVEVV,e,incon,0,2,2,3,6.183165399997961,,,,,,,,,6.169352199998684,6.183165399997961,7.183450399985304,8.18304099998204,8.18304099998204,,8.651751199999126,e,0.4629683999810368,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
RRPRR,p,incon,0,3,3,2,8.66619809999247,,,,,,,,,8.652843899995787,8.66619809999247,9.66648789998726,10.665985300001921,10.665985300001921,,11.10063979998813,p,0.417811100021936,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
RRERR,e,incon,0,4,4,1,11.115967299992917,,,,,,,,,11.101661699998658,11.115967299992917,12.116135299991583,13.116060300002573,13.116060300002573,,13.451960299978964,e,0.3331748000055086,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
EEEEE,e,con,0,5,5,5,13.465962899994338,,,,,,,,,13.453109699999914,13.465962899994338,14.465516500000376,15.465572299988708,15.465572299988708,,15.867493199999444,e,0.3925026999786496,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
PPPPP,p,con,1,0,6,4,15.882368699996732,,,,,,,,,15.86843209998915,15.882368699996732,16.881938100006664,17.88175939998473,17.88175939998473,18.381615699996473,18.366741299978457,p,0.4704083999968134,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
EEEEE,e,con,1,1,7,5,18.381615699996473,,,,,,,,,18.36765919998288,18.381615699996473,19.38180659999489,20.381501700001536,20.381501700001536,,20.733052499999758,p,0.3465400999994017,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
RRERR,e,incon,1,2,8,1,20.748392799985595,,,,,,,,,20.734196100005647,20.748392799985595,21.748438199982047,22.7480699000007,22.7480699000007,,23.16676870000083,e,0.4022132999962196,None,participant quiet reading,001,2023-11-29_11h33.46.897,lastdayclasses,2023.2.3,60.06006006291562,2023-11-29 11h34.07.562180 +0530,
