stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,intro_2.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.001971699995920062,0.0049343999999109656,0.0049343999999109656,2.020076099986909,8.404990399983944,space,8.38234929999453,None,,,,,,,,,,,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
VVPVV,p,incon,0,0,0,0,8.433508699992672,,,,,,,,,,8.419882799993502,8.433508699992672,9.43569079998997,10.419396999990568,10.419396999990568,10.919291199999861,13.903937900002347,p,3.4723889000015333,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
RRERR,e,incon,0,1,1,1,13.920869699999457,,,,,,,,,,13.905559200007701,13.920869699999457,14.935272000002442,15.918564299994614,15.918564299994614,16.4184002999973,16.520214299991494,e,0.5939518999948632,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
RRPRR,p,incon,0,2,2,2,16.535375200008275,,,,,,,,,,16.521310599986464,16.535375200008275,17.53504359998624,18.53475819999585,18.53475819999585,19.034658099990338,19.28617619999568,p,0.7342047000129241,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
VVEVV,e,incon,0,3,3,3,19.301327900000615,,,,,,,,,,19.28763410000829,19.301327900000615,20.301505799987353,21.30139129998861,21.30139129998861,,21.753231599985156,e,0.4479334000207018,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
EEEEE,e,con,0,4,4,5,21.76761389998137,,,,,,,,,,21.754133499984164,21.76761389998137,22.767313699994702,23.76735720000579,23.76735720000579,24.26727569999639,24.268751700001303,e,0.49496179999550804,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
PPPPP,p,con,0,5,5,4,24.284032900002785,,,,,,,,,,24.269865299982484,24.284032900002785,25.284266500006197,26.283930799982045,26.283930799982045,26.783965399983572,26.769317900005262,p,0.47021510000922717,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
PPPPP,p,con,1,0,6,4,26.783965399983572,,,,,,,,,,26.7702711999882,26.783965399983572,27.78372279999894,28.783456000004662,28.783456000004662,29.283458399993833,29.268685299990466,p,0.47844229999464005,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
RRPRR,p,incon,1,1,7,2,29.283458399993833,,,,,,,,,,29.2698143000016,29.283458399993833,30.283200899983058,31.283243599988054,31.283243599988054,31.783085100003518,31.86820619998616,e,0.5742301999998745,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
RRERR,e,incon,1,2,8,1,31.882997499982594,,,,,,,,,,31.86935120000271,31.882997499982594,32.88308219998726,33.882797199999914,33.882797199999914,34.38292619999265,34.55117170000449,e,0.6537767999980133,None,pulkit last day ,001,2023-11-25_16h49.49.726,lastdayclasses,2023.2.3,59.99851204303311,2023-11-25 16h50.10.298658 +0530,
