stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,intro_2.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.002012600001762621,0.00691460000234656,0.00691460000234656,2.0135131999995792,7.746599400008563,space,7.737770100007765,None,,,,,,,,,,,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVEVV,e,incon,0,0,0,3,7.7641193000017665,,,,,,,,,,7.753848899999866,7.7641193000017665,8.779207400002633,9.74592470000789,9.74592470000789,10.245689300005324,10.347372200005339,e,0.5901225999987219,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
EEEEE,e,con,0,1,1,5,10.362452999994275,,,,,,,,,,10.352970399995684,10.362452999994275,11.362183500008541,12.36209819999931,12.36209819999931,12.865084200006095,12.847351100004744,e,0.4769473999913316,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRPRR,p,incon,0,2,2,2,12.865084200006095,,,,,,,,,,12.84828180000477,12.865084200006095,13.878591100001358,14.861655800006702,14.861655800006702,15.361602100005257,15.41341989999637,p,0.5350656999944476,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
PPPPP,p,con,0,3,3,4,15.428431799999089,,,,,,,,,,15.414461499996833,15.428431799999089,16.428252099998645,17.428083000006154,17.428083000006154,17.928024099994218,17.913207400008105,p,0.4676951999863377,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVPVV,p,incon,0,4,4,0,17.928024099994218,,,,,,,,,,17.914344500008156,17.928024099994218,18.92798269999912,19.92766250000568,19.92766250000568,20.427546499995515,20.446143799999845,p,0.5076174999994691,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRERR,e,incon,0,5,5,1,20.46122369999648,,,,,,,,,,20.447121599994716,20.46122369999648,21.460951200002455,22.4609277999989,22.4609277999989,,22.91257640000549,p,0.43513090000487864,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
EEEEE,e,con,1,0,6,5,22.92745649999415,,,,,,,,,,22.913593000004767,22.92745649999415,23.927090800003498,24.92699690000154,24.92699690000154,25.427007699996466,25.612175100002787,e,0.6726178999961121,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRPRR,p,incon,1,1,7,2,25.62711099999433,,,,,,,,,,25.61314420000417,25.62711099999433,26.627032699994743,27.62667660000443,27.62667660000443,28.12673679999716,28.11232490000839,p,0.48351910000201315,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVEVV,e,incon,1,2,8,3,28.12673679999716,,,,,,,,,,28.11327460000757,28.12673679999716,29.126517500000773,30.126437099999748,30.126437099999748,,30.578405499996734,e,0.4465362000046298,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
PPPPP,p,con,1,3,9,4,30.593172199995024,,,,,,,,,,30.579455900005996,30.593172199995024,31.592974500003038,32.59281960000226,32.59281960000226,,33.01123020000523,p,0.41083619999699295,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRERR,e,incon,1,4,10,1,33.02595830000064,,,,,,,,,,33.01322409999557,33.02595830000064,34.025827599994955,35.02573170000687,35.02573170000687,,35.49427460000152,e,0.4556245999992825,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVPVV,p,incon,1,5,11,0,35.50926750000508,,,,,,,,,,35.495241099997656,35.50926750000508,36.5089874999976,37.509014499999466,37.509014499999466,,37.9274349000043,p,0.41258380000363104,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
PPPPP,p,con,2,0,12,4,37.94224140000006,,,,,,,,,,37.92839390000154,37.94224140000006,38.94217260000005,39.941913600006956,39.941913600006956,40.4419920000073,40.42684680000821,p,0.4674969999905443,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVPVV,p,incon,2,1,13,0,40.4419920000073,,,,,,,,,,40.42792319999717,40.4419920000073,41.4417800999945,42.44171070000448,42.44171070000448,,42.793273799994495,p,0.34720439999364316,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRPRR,p,incon,2,2,14,2,42.80843160000222,,,,,,,,,,42.79425839999749,42.80843160000222,43.80800430000818,44.8080631000048,44.8080631000048,,45.20976420000079,p,0.38405690000217874,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
EEEEE,e,con,2,3,15,5,45.22453619999578,,,,,,,,,,45.21081240000785,45.22453619999578,46.2244112000044,47.22417060000589,47.22417060000589,,47.642677800002275,e,0.40690030000405386,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRERR,e,incon,2,4,16,1,47.657592000003206,,,,,,,,,,47.643651899998076,47.657592000003206,48.65736769999785,49.65742709999904,49.65742709999904,50.157225100003416,50.22574870000244,e,0.5523091000068234,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVEVV,e,incon,2,5,17,3,50.24061960000836,,,,,,,,,,50.22687300000689,50.24061960000836,51.24045240000123,52.24048950000724,52.24048950000724,52.740215500001796,52.75846799999999,e,0.507192799996119,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVEVV,e,incon,3,0,18,3,52.77363939999486,,,,,,,,,,52.75944629999867,52.77363939999486,53.77325149999524,54.773331000003964,54.773331000003964,,55.241720100006205,e,0.45289150001190137,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
PPPPP,p,con,3,1,19,4,55.25666110000748,,,,,,,,,,55.242757800006075,55.25666110000748,56.25645620000432,57.25629000000481,57.25629000000481,,57.692316700005904,p,0.43360029999166727,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVPVV,p,incon,3,2,20,0,57.70656439999584,,,,,,,,,,57.693264999994426,57.70656439999584,58.706271000002744,59.70612940000137,59.70612940000137,60.20588380000845,60.224270399994566,p,0.5006242999952519,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRPRR,p,incon,3,3,21,2,60.239394999996875,,,,,,,,,,60.22534689999884,60.239394999996875,61.2390921000042,62.23903630000132,62.23903630000132,,62.657285099994624,e,0.4066440999886254,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRERR,e,incon,3,4,22,1,62.672239299994544,,,,,,,,,,62.65825629999745,62.672239299994544,63.67197820000001,64.67203250000603,64.67203250000603,65.17219230000046,65.34100559999933,e,0.663039100007154,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
EEEEE,e,con,3,5,23,5,65.35543530000723,,,,,,,,,,65.34198169999581,65.35543530000723,66.35506509999686,67.35515909999958,67.35515909999958,,67.82319900000584,e,0.45934260000649374,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
VVEVV,e,incon,4,0,24,3,67.83834780000325,,,,,,,,,,67.82422199999564,67.83834780000325,68.83814190000703,69.83792510000058,69.83792510000058,,70.2897210999945,e,0.44531779999670107,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRPRR,p,incon,4,1,25,2,70.30464469999424,,,,,,,,,,70.29077380000672,70.30464469999424,71.30456689999846,72.30443489999743,72.30443489999743,72.80441929999506,72.78943259999505,p,0.4696297000045888,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
EEEEE,e,con,4,2,26,5,72.80441929999506,,,,,,,,,,72.79059689999849,72.80441929999506,73.80425329999707,74.80425950000063,74.80425950000063,,75.27236139999877,e,0.45123370000510477,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
RRERR,e,incon,4,3,27,1,75.28747609999846,,,,,,,,,,75.27332049999677,75.28747609999846,76.28727939999953,77.28699320000305,77.28699320000305,77.78768320000381,77.80712110000604,e,0.5114191000029678,None,pulkit quiet reading,001,2023-11-28_15h30.30.119,lastdayclasses,2023.2.3,60.191686444991284,2023-11-28 15h30.44.203006 +0530,
