stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,intro_2.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.001587700011441484,0.0038222000002861023,0.0038222000002861023,2.0161407999985386,4.200446800008649,space,4.193453699990641,None,,,,,,,,,,,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
VVEVV,e,incon,0,0,0,3,4.230283899989445,,,,,,,,,,4.214980399992783,4.230283899989445,5.2324694999842905,6.2157761999988,6.2157761999988,6.715510399983032,8.516986900009215,e,2.298905300005572,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
RRPRR,p,incon,0,1,1,2,8.531615999992937,,,,,,,,,,8.518376599997282,8.531615999992937,9.531813699984923,10.531918799999403,10.531918799999403,11.031406599999173,11.583336399984546,p,1.0356203000119422,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
RRERR,e,incon,0,2,2,1,11.598407699988456,,,,,,,,,,11.584298700006912,11.598407699988456,12.597988099994836,13.598060899996199,13.598060899996199,14.097600999986753,14.182753600005526,e,0.5766111999982968,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
VVPVV,p,incon,0,3,3,0,14.197837999992771,,,,,,,,,,14.184280699992087,14.197837999992771,15.197846199997002,16.197513799997978,16.197513799997978,16.697466199984774,16.866385900008027,p,0.6570176999957766,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
EEEEE,e,con,0,4,4,5,16.880971899983706,,,,,,,,,,16.867514199984726,16.880971899983706,17.88086909998674,18.880670699989423,18.880670699989423,,19.281800199998543,e,0.3846526999841444,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
PPPPP,p,con,0,5,5,4,19.29717740000342,,,,,,,,,,19.283021799987182,19.29717740000342,20.296973799995612,21.29693219999899,21.29693219999899,,21.7480668000062,p,0.4364149000030011,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
PPPPP,p,con,1,0,6,4,21.76353699999163,,,,,,,,,,21.749079500004882,21.76353699999163,22.763581200008048,23.763278500002343,23.763278500002343,,24.198516900010873,p,0.4179154000012204,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
RRPRR,p,incon,1,1,7,2,24.21342499999446,,,,,,,,,,24.199518699984765,24.21342499999446,25.213385599985486,26.212839899992105,26.212839899992105,26.712996299989754,26.747959900007118,e,0.5179011999862269,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
EEEEE,e,con,1,2,8,5,26.763103800010867,,,,,,,,,,26.748960299999453,26.763103800010867,27.76266549999127,28.762698100006673,28.762698100006673,29.26239680001163,29.380955400003586,e,0.6048127000103705,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
RRERR,e,incon,1,3,9,1,29.395969700010028,,,,,,,,,,29.38193569998839,29.395969700010028,30.395760799990967,31.395467599999392,31.395467599999392,31.89548659999855,32.03046410001116,e,0.6291132000042126,None,yashashvi last day,001,2023-11-25_16h51.54.811,lastdayclasses,2023.2.3,60.07947313070618,2023-11-25 16h52.09.969724 +0530,
