stimuli,corr_resp,response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,key_resp.started,intro_2.started,intro_2.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,reactiontime.started,Fixation.started,Fixation.stopped,question.started,key_resp_2.started,question.stopped,reactiontime.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.002088599998387508,0.0072844000096665695,0.0072844000096665695,2.00662580000062,9.692417600002955,space,9.672378000002936,0.009819699989748187,,,,,,,,,,,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
RRPRR,p,incon,0,0,0,2,9.73075780000363,,,,,,,,,,9.71258960000705,9.73075780000363,10.738727000003564,11.705567600001814,11.705567600001814,12.205310000004829,13.040269400007674,p,1.3278692000021692,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
RRERR,e,incon,0,1,1,1,13.057180600007996,,,,,,,,,,13.045043100006296,13.057180600007996,14.071633500003372,15.054977300009341,15.054977300009341,15.554786200009403,15.707176700001583,e,0.6458857999969041,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
VVEVV,e,incon,0,2,2,3,15.723867900000187,,,,,,,,,,15.708227399998577,15.723867900000187,16.738142200003495,17.72119019999809,17.72119019999809,18.220990200003143,18.32323730000644,e,0.5897261000063736,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
EEEEE,e,con,0,3,3,5,18.33790610000142,,,,,,,,,,18.32443580000836,18.33790610000142,19.33762600000773,20.337677300005453,20.337677300005453,20.837550700001884,20.872132600008626,e,0.5270569999993313,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
VVPVV,p,incon,0,4,4,0,20.88763120000658,,,,,,,,,,20.87319730001036,20.88763120000658,21.887575900007505,22.88742350001121,22.88742350001121,23.387126900008298,23.38900380000996,p,0.4856495999993058,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
PPPPP,p,con,0,5,5,4,23.40395960000751,,,,,,,,,,23.390269499999704,23.40395960000751,24.403593100010767,25.403581300008227,25.403581300008227,,25.871480300003896,p,0.4535671000048751,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
VVEVV,e,incon,1,0,6,3,25.886872600007337,,,,,,,,,,25.87260590000369,25.886872600007337,26.886725100004696,27.886677700007567,27.886677700007567,28.386663299999782,28.371792899997672,e,0.4777957000042079,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
VVPVV,p,incon,1,1,7,0,28.386663299999782,,,,,,,,,,28.37282660001074,28.386663299999782,29.386344700003974,30.386228500006837,30.386228500006837,,30.80511159999878,p,0.4100453999999445,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
RRERR,e,incon,1,2,8,1,30.81948450001073,,,,,,,,,,30.806099800000084,30.81948450001073,31.819349099998362,32.81931089999853,32.81931089999853,,33.25423320000118,e,0.4298774999915622,None,yashashvi quiet reading,001,2023-11-28_20h14.02.033,lastdayclasses,2023.2.3,60.01921815500624,2023-11-28 20h14.47.645709 +0530,
